item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q66619259,2019 Seoul Semiconductor radiation accident,0,2019-07-15T00:00:00Z,2019-08-01T00:00:00Z
http://www.wikidata.org/entity/Q3246639,2005 Azores subtropical storm,0,2005-10-04T00:00:00Z,2005-10-05T00:00:00Z
http://www.wikidata.org/entity/Q24004490,2016 Fort McMurray Wildfire,0,2016-05-01T00:00:00Z,2017-08-02T00:00:00Z
http://www.wikidata.org/entity/Q16156313,2003 Midwest monkeypox outbreak,0,2003-05-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4613489,2009 Cataño oil refinery fire,0,2009-10-23T00:00:00Z,2009-10-25T00:00:00Z
http://www.wikidata.org/entity/Q63167656,2019 fire at Notre-Dame de Paris,0,2019-04-15T00:00:00Z,2019-04-16T00:00:00Z
http://www.wikidata.org/entity/Q64605287,2008 Universal Studios fire,0,2008-06-01T00:00:00Z,2008-06-02T00:00:00Z
http://www.wikidata.org/entity/Q38806025,Hurricane Madeline,0,2016-08-26T00:00:00Z,2016-09-03T00:00:00Z
http://www.wikidata.org/entity/Q46495816,Great Fire of Sankt Andreasberg,t1767243504,1796-10-08T00:00:00Z,1796-10-08T00:00:00Z
http://www.wikidata.org/entity/Q16347919,Q16347919,t1501066462,1967-10-17T00:00:00Z,1967-10-18T00:00:00Z
